ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
n15q3,Control,15,3,0.0407776795859108,0.0718343643479358,0.8885448916408669,0.7574692442882249,2.4560889279357063,2.12504931362871,7453.0,9,2.693794204919486,129.30464231434868,16,13,10.756
n15q4,Control,15,4,0.1401922869697441,0.188180218148729,0.8999060551712358,0.9152510020996374,2.7289491852958565,3.0718113328691707,31412.0,14,0.8993670032973258,83.23742102428766,17,5,34.958000000000006
n15q5,Control,15,5,0.0288,0.044,0.8055555555555556,0.6909090909090909,0.7219280948873623,0.9912642605354288,2075.0,8,4.670259403253547,139.854620847699,17,11,6.843999999999999
n16q1,Control,16,1,0.058125,0.0759375,0.8763440860215054,0.8518518518518519,2.2440806152578205,1.9796116989371744,7577.0,8,0.0,67.14677374789804,9,2,9.66
n16q2,Control,16,2,0.031358024691358,0.0639506172839506,0.8267716535433071,0.722007722007722,1.9642094285528544,1.8154612500742304,6236.0,13,0.6463030546853054,121.74297538559546,22,3,10.758
n16q3,Control,16,3,0.0384462940943321,0.0556216144801162,0.8969072164948454,0.7624703087885986,1.8024729930265944,1.6598356050347614,6842.0,10,1.7316141350679564,102.55057987394868,18,12,10.021999999999998
n16q4,Control,16,4,0.1991973956307201,0.21201449601769,0.9062596361393772,0.9215837759536456,3.002408411638585,3.0212835766520154,23224.0,13,4.200919777769344,101.68689625027255,14,7,26.521999999999988
n16q5,Control,16,5,0.0362349021241149,0.0678883798417326,0.8620689655172413,0.7300613496932515,1.6858157091530304,1.9517374334224664,2809.999999999999,7,4.917102913465867,134.76343802113988,12,7,6.111000000000001
n17q1,Control,17,1,0.0332413993322688,0.0762084482508346,0.7991266375545851,0.8095238095238095,1.6616387173521414,2.4427059021565163,7093.999999999999,11,0.31586666679768155,84.56590011043957,14,6,10.147
n17q2,Control,17,2,0.0443839128344816,0.0722640602467553,0.8844765342960289,0.8403547671840355,2.034491198798024,2.0641691874201307,6843.000000000001,9,2.0886889030786264,107.54753821738176,12,1,9.29
n17q3,Control,17,3,0.0414201183431952,0.0529257067718606,0.8650793650793651,0.7888198757763976,2.169413651789076,1.863881599290501,4161.0,12,5.689357546555992,142.7779095871781,23,12,9.901
n17q4,Control,17,4,0.1405508072174738,0.1661187815033969,0.841995841995842,0.8273966578715919,2.44560317368959,2.3915291004763097,22000.0,18,2.492297110142462,92.70170277069862,27,5,28.233999999999995
n17q5,Control,17,5,0.0477430555555555,0.0755208333333333,0.8727272727272727,0.7471264367816092,1.3778903318832147,1.7179860227268644,3177.0,6,6.034908655577355,140.6457451566303,12,6,6.111
n18q1,Control,18,1,0.0638888888888888,0.0777777777777777,0.8869565217391304,0.8785714285714286,2.3263829564513707,1.789089362813216,5258.0,7,1.8788385178326266,76.59528959609455,9,2,7.459
n18q2,Control,18,2,0.0421810699588477,0.0684156378600823,0.9146341463414634,0.8170426065162907,2.7011834799607,1.944500976331,11125.0,8,3.5288578825642625,101.60591819859891,9,0,12.957999999999998
n18q3,Control,18,3,0.0413778617937408,0.0628019323671497,0.817258883248731,0.8060200668896321,1.3337172747099446,1.5827026412067062,4768.0,9,4.444631311173234,144.50524807156324,16,13,8.189
n18q4,Control,18,4,0.1852872155902458,0.1963064993368023,0.91602422907489,0.9165800415800416,3.149070460125079,2.94457446068618,21026.0,13,2.888936768803667,94.83610522276967,14,8,23.837999999999997
