ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
n7q1,Control,7,1,0.1174775089527469,0.1988819984278103,0.9449814126394052,0.9411506368028107,2.8930237814029307,2.9154353434345954
n7q2,Control,7,2,0.0487111111111111,0.0800888888888888,0.8759124087591241,0.8546059933407325,2.966304645128786,2.6087581516318776
n7q3,Control,7,3,0.0570746527777777,0.0855034722222222,0.8365019011406845,0.7842639593908629,1.950286551999797,2.0776422469632507
n7q4,Control,7,4,0.1527028166638556,0.2492621015348288,0.891895623360486,0.9289520426287744,2.7538235127145136,3.0476224325961185
n7q5,Control,7,5,0.059402893197907,0.0969529085872576,0.8549222797927462,0.7142857142857143,2.214997302659252,1.5302190354723806
n8q1,Control,8,1,0.0728443378361318,0.1081934099229895,0.878682842287695,0.8039673278879813,2.329837971476277,2.24927684109299
n8q2,Control,8,2,0.0619753086419753,0.0874074074074074,0.9362549800796812,0.8813559322033898,3.051623748964279,2.5436253862870988
n8q3,Control,8,3,0.049,0.0892,0.8938775510204081,0.852017937219731,2.5809078764375744,2.3630098110293165
n8q4,Control,8,4,0.1683819925785899,0.2184648416532474,0.9625779625779626,0.9401773314816791,3.7475765525058624,3.399756184624623
n8q5,Control,8,5,0.0410452075384437,0.0787374262920568,0.8535211267605634,0.8443465491923642,2.212440432013026,1.9719755843713345
n9q1,Control,9,1,0.0698676515851031,0.108341028008618,0.9559471365638766,0.9034090909090908,3.266342131496517,3.070286909845006
n9q2,Control,9,2,0.0538903061224489,0.0959821428571428,0.9171597633136096,0.8654485049833887,3.1160146327532465,2.566281160087557
n9q3,Control,9,3,0.0467367113503441,0.0722012318202991,0.9313399778516056,0.8451612903225807,2.602881109265176,2.281831626629161
n9q4,Control,9,4,0.1300679438627756,0.1551292047226553,0.9578248769000214,0.9450726978998384,3.371180506879789,2.981795853172132
n9q5,Control,9,5,0.0486019891161568,0.0797522987427284,0.8532818532818532,0.7411764705882353,2.257590877077809,1.6853537044685556
m1q1,MCI,1,1,0.0243374797187669,0.0765278528934559,0.6333333333333333,0.6360424028268551,1.0957952550009336,1.7089025939466225
m1q2,MCI,1,2,0.0338876291257243,0.100907029478458,0.7955390334572491,0.8626716604244694,2.3831774876538456,2.148408157993297
m1q3,MCI,1,3,0.0438983406847301,0.0649023314429741,0.8373205741626795,0.7864077669902912,2.0367449895870378,2.1646280858309512
m1q4,MCI,1,4,0.0718219260493313,0.1511175898931001,0.8211984536082474,0.8698514775685193,2.566658772175304,2.589036678143796
m1q5,MCI,1,5,0.0535900104058272,0.1201873048907388,0.7281553398058253,0.7619047619047619,2.022159237971452,2.076016117827405
m10q1,MCI,10,1,0.1337785123966942,0.1511008264462809,0.9395077592171592,0.9063621247921588,3.1889624548794115,2.811983437177626
m10q2,MCI,10,2,0.032994754251729,0.0822279394567142,0.8313924050632912,0.8019097927671678,2.668148188205064,2.514028271793541
m10q3,MCI,10,3,0.0442187339694264,0.0654902363120276,0.8561484918793504,0.7535248041775456,2.4175844057476974,1.9482346957980357
m10q4,MCI,10,4,0.0277742400721462,0.0854705856031061,0.7623001611104226,0.7369417260682212,2.075865020875204,2.07063352630091
m10q5,MCI,10,5,0.0615234375,0.1123046875,0.7777777777777778,0.8347826086956521,1.6476635787783438,1.6639599758421926
m11q1,MCI,11,1,0.1084459416674054,0.1684502475905827,0.9458133831601074,0.922411848733178,3.3335058238130184,3.0825148256497985
m11q2,MCI,11,2,0.0433996781943617,0.1029337212634177,0.8575418994413407,0.8569593147751606,2.401082549136593,2.3439585791392594
m11q3,MCI,11,3,0.0498733513844003,0.0855096514979474,0.9194395796847636,0.822267620020429,2.691162228728353,1.8775821256364968
m11q4,MCI,11,4,0.0157407849259317,0.0535895670432002,0.7080987440450411,0.6580587711487088,1.963461431042065,1.6124884095609922
m11q5,MCI,11,5,0.02,0.0592899408284023,0.7041420118343196,0.626746506986028,1.3093768147370437,1.3040838797418746
m12q1,MCI,12,1,0.0376470588235294,0.0790311418685121,0.8253676470588235,0.7565674255691769,2.0125453793540213,2.0868511004498864
m12q2,MCI,12,2,0.0453125,0.076875,0.8482758620689655,0.7195121951219512,2.6879250811706,2.112559421639863
m12q3,MCI,12,3,0.0320385784119434,0.0544325538380235,0.7752577319587629,0.6808252427184466,1.82973012574567,1.4596046305032928
m12q4,MCI,12,4,0.018903637554903,0.0669999272003688,0.748395378690629,0.7015574067366896,1.9319296498450005,1.6524523199730243
m12q5,MCI,12,5,0.0502489814395654,0.1380715255771842,0.8738738738738738,0.7180327868852459,1.5099686126368168,1.771347596475924
m13q1,MCI,13,1,0.0496514997258986,0.1214660505912757,0.8351735015772871,0.8575112830431979,2.202677112742885,2.492788147521691
m13q2,MCI,13,2,0.0307013712988033,0.0733251812385361,0.7382645803698435,0.7027992852888624,1.6886891087165217,1.6624786694397888
m13q3,MCI,13,3,0.0514705882352941,0.111159169550173,0.7563025210084033,0.8287937743190662,1.6342031261913623,1.558060988450673
m13q4,MCI,13,4,0.0633102493074792,0.1276038781163435,0.8643622839641216,0.8652990339737328,2.6378201197986284,2.5892081661149384
m13q5,MCI,13,5,0.0686365035395506,0.1381963681132656,0.7847533632286996,0.7861915367483296,1.9539209065294327,2.14926063962995
m14q1,MCI,14,1,0.0773036487322201,0.1190195086298982,0.9204848484848484,0.9269406392694064,2.8090780390220447,2.8502844233452085
m14q2,MCI,14,2,0.0996498876998282,0.1302186550402959,0.9643685780576732,0.943436905516804,3.861118489376413,3.752166401649932
m14q3,MCI,14,3,0.0766049382716049,0.1030246913580247,0.902497985495568,0.8268424206111444,2.8848063048189467,2.394011218915149
m14q4,MCI,14,4,0.0451249799711584,0.0990826790578432,0.7856191744340879,0.7515666060238528,2.145899261851224,2.0646822817482926
m14q5,MCI,14,5,0.0477502295684113,0.0831037649219467,0.7403846153846154,0.7071823204419889,1.7692971486125293,1.6071537829606286
m15q1,MCI,15,1,0.0909334892503522,0.1869566467616865,0.9287445978707706,0.9263778518328634,2.951639064823553,2.88294772390954
m15q2,MCI,15,2,0.0346174548250672,0.0849673202614379,0.8294091514882275,0.8229864253393665,2.206679331156612,2.122614850877428
m15q3,MCI,15,3,0.0453739612188365,0.0734072022160664,0.8327228327228328,0.7637735849056604,2.296915240095191,2.129053025344715
m15q4,MCI,15,4,0.1254552440776504,0.1813709111564035,0.8961648578467275,0.8880394233869111,2.6766925553655985,2.731059233610488
m15q5,MCI,15,5,0.0516975308641975,0.0945216049382716,0.8656716417910447,0.746938775510204,2.572100662767201,1.974516758972809
m16q1,MCI,16,1,0.1033156575957112,0.2110016898782122,0.904117315284828,0.935376967688484,2.9408724150709133,3.055850296681339
m16q2,MCI,16,2,0.0316200554295792,0.0614764424288233,0.7410358565737052,0.680327868852459,1.787871192703609,1.7095948149726243
m16q3,MCI,16,3,0.0411796932067202,0.0534149013878743,0.7139689578713969,0.6735042735042736,1.7974115776099702,1.5905000382946202
m16q4,MCI,16,4,0.0295277285170709,0.0592104130438525,0.7457725947521866,0.6929339924396627,2.0428862572753634,1.925395760917049
m16q5,MCI,16,5,0.0526315789473684,0.0994152046783625,0.8713450292397661,0.7894736842105263,2.264212686545723,1.9353601538495575
m17q1,MCI,17,1,0.0403125,0.0775,0.7054263565891473,0.6975806451612904,1.8607986640262832,1.7132222574704563
m17q2,MCI,17,2,0.0400624349635796,0.1004162330905307,0.8831168831168831,0.8031088082901554,1.1702295713931186,2.256973646021001
m17q3,MCI,17,3,0.0552268244575936,0.0657462195923734,0.8452380952380952,0.695,1.952107871216328,1.6802526480045266
m17q4,MCI,17,4,0.0319941563184806,0.0646603360116873,0.726027397260274,0.6619972887483054,1.7270349581190256,1.6148469215714514
m17q5,MCI,17,5,0.0345689296126613,0.1095376926280716,0.6867469879518072,0.6349809885931559,0.7219280948873623,1.1403302427444932
m18q1,MCI,18,1,0.0654847645429363,0.1012742382271468,0.8866328257191202,0.8397155361050328,2.736036688858226,2.446813368133136
m18q2,MCI,18,2,0.0600356930398572,0.0971564544913741,0.8723741577487119,0.8363948077394073,2.9141294240949045,2.3927841878692404
m18q3,MCI,18,3,0.1015885896195499,0.1183171561436909,0.9551459293394776,0.8786599841730414,3.455973753479253,3.1882325295730785
m18q4,MCI,18,4,0.1761278987567957,0.2390687135748513,0.8994365202839624,0.9199214046983808,2.743474744639744,3.0312545466311773
m18q5,MCI,18,5,0.0297458085451595,0.0746349378042185,0.7545454545454545,0.6811594202898551,1.2424515878790308,1.1717602290341884
